,version,rsi,is_quarter_mode,is_ma_cut,start,end,duration,initial_capital,cash,balance_status,profit,profit_ratio,max_drawdown,total_profit,total_loss,profit_loss_ratio,win_count,lose_count,win_rate,exhaust_count,quarter_count,ma_cut_count,avg_daily_profit_ratio,avg_monthly_profit_ratio,avg_annual_profit_ratio
11,slowly,85,False,False,2009-07-16,2024-02-26,3678,100000,217960.94149762447,393085.5735014087,293085.5735014087,293.08557350140865,21.99194330949074,379655.3693584775,-36072.25800376196,10.524857338259316,430,26,94.2982456140351,0,0,0,0.07968612656373264,1.6402061051034968,19.682473261241963
12,v1,80,False,False,2009-07-16,2024-02-26,3678,100000,298771.3842873843,532509.8336148532,432509.8336148532,432.50983361485316,47.093302659725694,773819.4285120164,0.0,inf,54,0,100.0,10,0,0,0.11759375574085187,2.4204714723325345,29.04565766799041
13,v2.2,80,False,False,2009-07-16,2024-02-26,3678,100000,205908.1700503625,420301.6702611245,320301.6702611245,320.3016702611245,42.69416093973398,679928.1753991928,-232247.70957801898,2.927599056346278,576,96,85.71428571428571,7,0,0,0.08708582660715729,1.7925165976639876,21.51019917196785
14,slowly,80,False,False,2009-07-16,2024-02-26,3678,100000,218129.61256063922,393401.2845577095,293401.2845577095,293.4012845577095,21.992839779042235,379491.27237432916,-35623.09980097579,10.652954810067767,430,26,94.2982456140351,0,0,0,0.07977196426256378,1.6419729310711044,19.703675172853252
15,v1,75,False,False,2009-07-16,2024-02-26,3678,100000,297425.51427943405,530006.0236597746,430006.02365977457,430.0060236597746,47.08443085719519,769568.8885732952,0.0,inf,54,0,100.0,10,0,0,0.11691300262636611,2.406459304059369,28.87751164871243
16,v2.2,75,False,False,2009-07-16,2024-02-26,3678,100000,209297.56672836907,427174.0767800964,327174.0767800964,327.1740767800964,37.31906801558564,683476.2394448976,-228600.23939305253,2.9898316872264368,574,95,85.79970104633782,6,0,0,0.08895434387713333,1.8309769114709944,21.971722937651933
17,slowly,75,False,False,2009-07-16,2024-02-26,3678,100000,219604.17212995345,396033.78407415206,296033.78407415206,296.0337840741521,21.991954156380544,379664.35015238234,-33308.66950015977,11.398364325256559,432,24,94.73684210526315,0,0,0,0.08048770638231431,1.6567052897026364,19.880463476431636
18,v1,70,False,False,2009-07-16,2024-02-26,3678,100000,291148.822493697,518968.912091399,418968.912091399,418.96891209139903,47.097065569151134,752103.5862854642,0.0,inf,54,0,100.0,10,0,0,0.11391215663170175,2.344691890669194,28.13630268803033
19,v2.2,70,False,False,2009-07-16,2024-02-26,3678,100000,225922.9511291234,439425.02138058824,339425.02138058824,339.42502138058825,37.33295990559356,682019.1783681808,-218527.08721250284,3.1209823325241284,563,92,85.95419847328245,6,0,0,0.09228521516601094,1.899537345500392,22.794448146004704
20,slowly,70,False,False,2009-07-16,2024-02-26,3678,100000,228817.29188134594,391719.2244432203,291719.2244432203,291.7192244432203,21.990899247129253,372542.1024012815,-32837.82099430507,11.34490934906704,430,24,94.7136563876652,0,0,0,0.07931463416074505,1.6325595531420023,19.59071463770403
21,v1,65,False,False,2009-07-16,2024-02-26,3678,100000,283618.9356689825,505539.04553607845,405539.04553607845,405.53904553607845,47.096244446576726,729776.0006776036,0.0,inf,55,0,100.0,10,0,0,0.11026075191301753,2.269533810209611,27.23440572251533
